Node1,Node1_ID,Node2,Node2_ID,Interaction_Score,Node1_Degree,Node1_X,Node1_Y,Node1_Annotation,Node2_Degree,Node2_X,Node2_Y,Node2_Annotation
4930432K21Rik,10090.ENSMUSP00000113651,Sycp3,10090.ENSMUSP00000020252,0.459,9,0.5106153846153847,0.8942148760330579,Uncharacterized protein C19orf57 homolog.,31,0.5133846153846154,0.5099173553719009,"Synaptonemal complex protein 3; Component of the synaptonemal complexes (SCS), formed between homologous chromosomes during meiotic prophase. Required for centromere pairing during meiosis in male germ cells. Required for normal meiosis during spermatogenesis and male fertility. Plays a lesser role in female fertility. Required for efficient phosphorylation of HORMAD1 and HORMAD2."
4930432K21Rik,10090.ENSMUSP00000113651,Meiob,10090.ENSMUSP00000024972,0.651,9,0.5106153846153847,0.8942148760330579,Uncharacterized protein C19orf57 homolog.,29,0.4561538461538461,0.6165289256198347,"Meiosis-specific with OB domain-containing protein; Single-stranded DNA-binding protein required for homologous recombination in meiosis I. Required for double strand breaks (DSBs) repair and crossover formation and promotion of faithful and complete synapsis. Not required for the initial loading of recombinases but required to maintain a proper number of RAD51 and DMC1 foci after the zygotene stage. May act by ensuring the stabilization of recombinases, which is required for successful homology search and meiotic recombination. Displays Single-stranded DNA 3'-5' exonuclease activity i [...] "
4930432K21Rik,10090.ENSMUSP00000113651,Hormad1,10090.ENSMUSP00000029754,0.413,9,0.5106153846153847,0.8942148760330579,Uncharacterized protein C19orf57 homolog.,31,0.4847692307692308,0.3685950413223141,"HORMA domain-containing protein 1; Plays a key role in meiotic progression. Regulates 3 different functions during meiosis: ensures that sufficient numbers of processed DNA double-strand breaks (DSBs) are available for successful homology search by increasing the steady-state numbers of single-stranded DSB ends. Promotes synaptonemal-complex formation independently of its role in homology search. Plays a key role in the male mid- pachytene checkpoint and the female meiotic prophase checkpoint: required for efficient build-up of ATR activity on unsynapsed chromosome regions, a process b [...] "
4930432K21Rik,10090.ENSMUSP00000113651,4930447C04Rik,10090.ENSMUSP00000035376,0.448,9,0.5106153846153847,0.8942148760330579,Uncharacterized protein C19orf57 homolog.,25,0.6066153846153847,0.5446280991735537,Protein SIX6OS1; Meiotic protein that localizes to the central element of the synaptonemal complex and is required for chromosome synapsis during meiotic recombination. Required for the appropriate processing of intermediate recombination nodules before crossover formation.
4930432K21Rik,10090.ENSMUSP00000113651,Spo11,10090.ENSMUSP00000059056,0.41,9,0.5106153846153847,0.8942148760330579,Uncharacterized protein C19orf57 homolog.,32,0.3583076923076923,0.3747933884297521,"Meiotic recombination protein SPO11; [Isoform 1]: Component of a topoisomerase 6 complex specifically required for meiotic recombination. Together with TOP6BL, mediates DNA cleavage that forms the double-strand breaks (DSB) that initiate meiotic recombination. The complex promotes relaxation of negative and positive supercoiled DNA and DNA decatenation through cleavage and ligation cycles. Essential for the phosphorylation of SMC3, HORMAD1 and HORMAD2."
4930432K21Rik,10090.ENSMUSP00000113651,Spata22,10090.ENSMUSP00000090602,0.652,9,0.5106153846153847,0.8942148760330579,Uncharacterized protein C19orf57 homolog.,25,0.5493846153846154,0.7008264462809918,Spermatogenesis-associated protein 22; Meiosis-specific protein required for homologous recombination in meiosis I.
4930432K21Rik,10090.ENSMUSP00000113651,Hormad2,10090.ENSMUSP00000105574,0.529,9,0.5106153846153847,0.8942148760330579,Uncharacterized protein C19orf57 homolog.,28,0.4487692307692307,0.5024793388429752,"HORMA domain-containing protein 2; Essential for synapsis surveillance during meiotic prophase via the recruitment of ATR activity. Plays a key role in the male mid- pachytene checkpoint and the female meiotic prophase checkpoint: required for efficient build-up of ATR activity on unsynapsed chromosome regions, a process believed to form the basis of meiotic silencing of unsynapsed chromatin (MSUC) and meiotic prophase quality control in both sexes. Required for the DNA double-strand break- independent, BRCA1-dependent activation of ATR on the sex chromosomes that is essential for norm [...] "
4930432K21Rik,10090.ENSMUSP00000113651,Rnf212,10090.ENSMUSP00000148758,0.41,9,0.5106153846153847,0.8942148760330579,Uncharacterized protein C19orf57 homolog.,26,0.314,0.6574380165289258,"Probable E3 SUMO-protein ligase RNF212; SUMO E3 ligase that acts as a regulator of crossing-over during meiosis: required to couple chromosome synapsis to the formation of crossover-specific recombination complexes. Localizes to recombination sites and stabilizes meiosis-specific recombination factors, such as MutS-gamma complex proteins (MSH4 and MSH5) and TEX11. May mediate sumoylation of target proteins MSH4 and/or MSH5, leading to enhance their binding to recombination sites. Acts as a limiting factor for crossover designation and/or reinforcement and plays an antagonist role with  [...] "
4930432K21Rik,10090.ENSMUSP00000113651,Hsf2bp,10090.ENSMUSP00000157466,0.746,9,0.5106153846153847,0.8942148760330579,Uncharacterized protein C19orf57 homolog.,19,0.4709230769230769,0.7219008264462811,"Heat shock factor 2-binding protein; Inhibits BNC1 transcriptional activity during spermatogenesis, probably by sequestering it in the cytoplasm. May be involved in modulating HSF2 activation in testis (By similarity)."
4930447C04Rik,10090.ENSMUSP00000035376,Msh4,10090.ENSMUSP00000005630,0.495,25,0.6066153846153847,0.5446280991735537,Protein SIX6OS1; Meiotic protein that localizes to the central element of the synaptonemal complex and is required for chromosome synapsis during meiotic recombination. Required for the appropriate processing of intermediate recombination nodules before crossover formation.,27,0.3056923076923077,0.4020661157024793,MutS protein homolog 4; Involved in meiotic recombination. Required for reciprocal recombination and proper segregation of homologous chromosomes at meiosis.
